id,name,artists,danceability,energy,loudness,speechiness,acousticness,liveness,valence,duration_ms,year
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,0.754,0.449,-9.211,0.109,0.0332,0.552,0.35700000000000004,198973.0,2018
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,0.74,0.613,-4.88,0.145,0.258,0.12300000000000001,0.473,166606.0,2018
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.5870000000000001,0.535,-6.09,0.0898,0.11699999999999999,0.131,0.14,218147.0,2018
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,0.7390000000000001,0.5589999999999999,-8.011000000000001,0.11699999999999999,0.58,0.11199999999999999,0.439,221440.0,2018
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,0.835,0.626,-5.832999999999999,0.125,0.0589,0.396,0.35,217925.0,2018
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.68,0.563,-5.843,0.0454,0.354,0.136,0.374,231267.0,2018
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,0.816,0.726,-3.998,0.129,0.099,0.37200000000000005,0.65,253390.0,2018
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,0.862,-3.24,0.11,0.037000000000000005,0.0814,0.5920000000000001,214847.0,2018
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,0.836,0.544,-5.975,0.0943,0.0403,0.0824,0.51,217947.0,2018
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,0.626,0.88,-2.384,0.0504,0.205,0.128,0.534,202621.0,2018
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,0.765,0.523,-4.333,0.03,0.184,0.132,0.39399999999999996,217307.0,2018
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,0.511,0.5660000000000001,-7.23,0.2,0.349,0.34,0.218,239836.0,2018
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,0.586,0.909,-6.474,0.0705,0.0891,0.11900000000000001,0.757,210747.0,2018
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,-6.825,0.0505,0.568,0.13,0.44799999999999995,235545.0,2018
09IStsImFySgyp0pIQdqA,The Middle,Zedd,0.753,0.657,-3.0610000000000004,0.0449,0.171,0.11199999999999999,0.43700000000000006,184732.0,2018
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,0.698,0.633,-4.946000000000001,0.0597,0.0605,0.0926,0.552,232187.0,2018
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,0.6990000000000001,0.713,-5.507000000000001,0.0594,0.04,0.294,0.354,205920.0,2018
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,0.595,0.773,-4.736000000000001,0.0549,0.0364,0.33399999999999996,0.711,173628.0,2018
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,0.9209999999999999,0.537,-5.723,0.0804,0.556,0.102,0.711,135090.0,2018
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,-7.495,0.27,0.0010400000000000001,0.105,0.595,181263.0,2018
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,-4.0569999999999995,0.0474,0.19399999999999998,0.165,0.55,210773.0,2018
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,0.903,0.675,-3.445,0.214,0.542,0.0595,0.442,417920.0,2018
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,0.71,0.789,-3.8739999999999997,0.0722,0.0161,0.451,0.7170000000000001,131064.0,2018
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,0.596,0.8540000000000001,-5.114,0.46299999999999997,0.0169,0.124,0.152,203418.0,2018
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,0.762,0.7,-6.021,0.0694,0.0026100000000000003,0.153,0.608,209320.0,2018
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,0.825,0.652,-3.1830000000000003,0.0802,0.581,0.0931,0.9309999999999999,233713.0,2018
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,0.708,0.648,-5.626,0.0449,0.0956,0.134,0.33799999999999997,201707.0,2018
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,0.772,-6.61,0.0848,0.0476,0.0646,0.589,164205.0,2018
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,0.872,0.391,-9.144,0.242,0.469,0.297,0.43700000000000006,119133.0,2018
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,0.599,0.44799999999999995,-6.312,0.0232,0.163,0.106,0.168,263400.0,2018
5IaHrVsrferBYDm0bDyAB,Taste (feat. Offset),Tyga,0.884,0.5589999999999999,-7.442,0.12,0.0236,0.10099999999999999,0.342,232959.0,2018
6kPJZM97LwdG9QIsT7khp,Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,-4.546,0.0437,0.0441,0.35,0.565,222653.0,2018
75ZvA4QfFiZvzhj2xkaWA,I Fall Apart,Post Malone,0.556,0.5379999999999999,-5.4079999999999995,0.0382,0.0689,0.196,0.29100000000000004,223347.0,2018
63SevszngYpZOwf63o61K,Nevermind,Dennis Lloyd,0.5920000000000001,0.691,-8.354,0.196,0.156,0.418,0.0796,156600.0,2018
2hl6q70unbviGo3g1R7uF,?chame La Culpa,Luis Fonsi,0.726,0.889,-3.655,0.0429,0.0328,0.0925,0.649,173720.0,2018
0d2iYfpKoM0QCKvcLCkBa,Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,-7.648,0.321,0.555,0.11599999999999999,0.319,173800.0,2018
4eWQlBRaTjPPUlzacqEeo,Never Be the Same,Camila Cabello,0.637,0.713,-4.333,0.0747,0.18100000000000002,0.13699999999999998,0.243,226973.0,2018
0tBbt8CrmxbjRP0pueQky,Wolves,Selena Gomez,0.72,0.807,-4.59,0.0432,0.129,0.183,0.305,197993.0,2018
7AFASza1mXqntmGtbxXpr,changes,XXXTENTACION,0.669,0.308,-10.068,0.028999999999999998,0.883,0.0984,0.52,121887.0,2018
0E9ZjEAyAwOXZ7wJC0PD3,In My Mind,Dynoro,0.6940000000000001,0.77,-5.335,0.149,0.17600000000000002,0.11800000000000001,0.163,184560.0,2018
1cS0TgbR263ey9jn0MwD2,River (feat. Ed Sheeran),Eminem,0.748,0.7490000000000001,-5.916,0.516,0.142,0.0713,0.659,221013.0,2018
6KuqAtoeVzxAYOaMveLNp,Dura,Daddy Yankee,0.7909999999999999,0.848,-3.4560000000000004,0.0506,0.183,0.409,0.828,200480.0,2018
2xLMifQCjDGFmkHkpNLD9,SICKO MODE,Travis Scott,0.8340000000000001,0.73,-3.714,0.222,0.00513,0.124,0.446,312820.0,2018
1zB4vmk8tFRmM9UULNzbL,Thunder,Imagine Dragons,0.605,0.8220000000000001,-4.833,0.0438,0.00671,0.147,0.28800000000000003,187147.0,2018
